topic,key,t_s,value
/control/diagnostics,cycle_time_ms,72.18,0.0
/planning/diagnostics,cycle_ms,72.2,0.08602
/control/diagnostics,cycle_time_ms,72.2,0.0
/control/diagnostics,cycle_time_ms,72.22,0.0
/control/diagnostics,cycle_time_ms,72.24,0.0
/control/diagnostics,cycle_time_ms,72.26,0.0
/control/diagnostics,cycle_time_ms,72.28,0.0
/planning/diagnostics,cycle_ms,72.3,0.036117
/control/diagnostics,cycle_time_ms,72.3,0.0
/control/diagnostics,cycle_time_ms,72.32,0.0
/control/diagnostics,cycle_time_ms,72.34,0.0
/control/diagnostics,cycle_time_ms,72.36,0.0
/control/diagnostics,cycle_time_ms,72.38,0.0
/control/diagnostics,cycle_time_ms,72.4,0.0
/planning/diagnostics,cycle_ms,72.4,0.035837
/control/diagnostics,cycle_time_ms,72.42,0.0
/control/diagnostics,cycle_time_ms,72.44,0.0
/control/diagnostics,cycle_time_ms,72.46,0.0
/control/diagnostics,cycle_time_ms,72.48,0.0
/planning/diagnostics,cycle_ms,72.5,0.063468
/control/diagnostics,cycle_time_ms,72.5,0.0
/control/diagnostics,cycle_time_ms,72.52,0.0
/control/diagnostics,cycle_time_ms,72.54,0.0
/control/diagnostics,cycle_time_ms,72.56,0.0
/control/diagnostics,cycle_time_ms,72.58,0.0
/planning/diagnostics,cycle_ms,72.6,0.066363
/control/diagnostics,cycle_time_ms,72.6,0.0
/control/diagnostics,cycle_time_ms,72.62,0.0
/control/diagnostics,cycle_time_ms,72.64,0.0
/control/diagnostics,cycle_time_ms,72.66,0.0
/control/diagnostics,cycle_time_ms,72.68,0.0
/planning/diagnostics,cycle_ms,72.7,0.044052
/control/diagnostics,cycle_time_ms,72.7,0.0
/control/diagnostics,cycle_time_ms,72.72,0.0
/control/diagnostics,cycle_time_ms,72.74,0.0
/control/diagnostics,cycle_time_ms,72.76,0.0
/control/diagnostics,cycle_time_ms,72.78,0.0
/planning/diagnostics,cycle_ms,72.8,0.065161
/control/diagnostics,cycle_time_ms,72.8,0.0
/control/diagnostics,cycle_time_ms,72.82,0.0
/control/diagnostics,cycle_time_ms,72.84,0.0
/control/diagnostics,cycle_time_ms,72.86,0.0
/control/diagnostics,cycle_time_ms,72.88,0.0
/planning/diagnostics,cycle_ms,72.9,0.058609
/control/diagnostics,cycle_time_ms,72.9,0.0
/control/diagnostics,cycle_time_ms,72.92,0.0
/control/diagnostics,cycle_time_ms,72.94,0.0
/control/diagnostics,cycle_time_ms,72.96,0.0
/control/diagnostics,cycle_time_ms,72.98,0.0
/planning/diagnostics,cycle_ms,73.0,0.03767
/control/diagnostics,cycle_time_ms,73.0,0.0
/control/diagnostics,cycle_time_ms,73.02,0.0
/control/diagnostics,cycle_time_ms,73.04,0.0
/perception/diagnostics,ground_ms,73.0,2.96735
/perception/diagnostics,cluster_ms,73.0,15.776342
/perception/diagnostics,fit_ms,73.0,2.270773
/perception/diagnostics,track_ms,73.0,0.067906
/perception/diagnostics,total_ms,73.0,21.191644
/control/diagnostics,cycle_time_ms,73.06,0.0
/control/diagnostics,cycle_time_ms,73.08,0.0
/planning/diagnostics,cycle_ms,73.1,0.049682
/control/diagnostics,cycle_time_ms,73.1,0.0
/control/diagnostics,cycle_time_ms,73.12,0.0
/control/diagnostics,cycle_time_ms,73.14,0.0
/control/diagnostics,cycle_time_ms,73.16,0.0
/control/diagnostics,cycle_time_ms,73.18,0.0
/planning/diagnostics,cycle_ms,73.2,0.037039
/control/diagnostics,cycle_time_ms,73.2,0.0
/control/diagnostics,cycle_time_ms,73.22,0.0
/control/diagnostics,cycle_time_ms,73.24,0.0
/control/diagnostics,cycle_time_ms,73.26,0.0
/control/diagnostics,cycle_time_ms,73.28,0.0
/planning/diagnostics,cycle_ms,73.3,0.059661
/control/diagnostics,cycle_time_ms,73.3,0.0
/control/diagnostics,cycle_time_ms,73.32,0.0
/control/diagnostics,cycle_time_ms,73.343,2.0
/control/diagnostics,cycle_time_ms,73.36,0.0
/control/diagnostics,cycle_time_ms,73.38,0.0
/planning/diagnostics,cycle_ms,73.4,0.036167
/control/diagnostics,cycle_time_ms,73.4,0.0
/control/diagnostics,cycle_time_ms,73.42,0.0
/control/diagnostics,cycle_time_ms,73.44,0.0
/control/diagnostics,cycle_time_ms,73.46,0.0
/control/diagnostics,cycle_time_ms,73.48,0.0
/planning/diagnostics,cycle_ms,73.5,0.034855
/control/diagnostics,cycle_time_ms,73.5,0.0
/control/diagnostics,cycle_time_ms,73.52,0.0
/control/diagnostics,cycle_time_ms,73.54,0.0
/control/diagnostics,cycle_time_ms,73.56,0.0
/control/diagnostics,cycle_time_ms,73.58,0.0
/planning/diagnostics,cycle_ms,73.6,0.036368
/control/diagnostics,cycle_time_ms,73.6,0.0
/control/diagnostics,cycle_time_ms,73.62,0.0
/control/diagnostics,cycle_time_ms,73.64,0.0
/control/diagnostics,cycle_time_ms,73.66,0.0
/control/diagnostics,cycle_time_ms,73.68,0.0
/planning/diagnostics,cycle_ms,73.7,0.036929
/control/diagnostics,cycle_time_ms,73.7,0.0
/control/diagnostics,cycle_time_ms,73.721,0.0
/control/diagnostics,cycle_time_ms,73.74,0.0
/control/diagnostics,cycle_time_ms,73.76,0.0
/control/diagnostics,cycle_time_ms,73.78,0.0
/planning/diagnostics,cycle_ms,73.8,0.044603
/control/diagnostics,cycle_time_ms,73.8,0.0
/control/diagnostics,cycle_time_ms,73.82,0.0
